cpf,descricao,valor
991.911.253-47,Investimento em banco,1140287.06
062.413.512-04,Apartamento,213587.58
926.123.495-61,Sítio,972288.88
414.108.256-39,Apartamento,1246931.32
581.993.792-62,Saldo em conta corrente,1151141.39
892.322.626-48,Saldo em conta corrente,466714.76
405.846.237-70,Saldo em conta corrente,1275824.4
935.546.686-40,Trator,763089.78
754.771.769-12,Ouro em barras,779828.96
309.403.122-53,Motocicleta,1378039.01
243.378.205-11,Fazenda,1152736.88
425.153.246-32,Ouro em barras,951422.0
033.694.291-18,Automóvel,25749.48
609.702.454-16,Trator,1271090.72
925.667.426-18,Fazenda,1702862.98
231.215.148-52,Casa,1478885.71
421.592.015-22,Ouro em barras,1603870.01
707.529.729-31,Ouro em barras,1741310.13
633.209.393-28,Ouro em barras,1758762.0
295.250.132-49,Casa,1612952.7
133.126.280-83,Chácara,1427944.42
117.842.555-31,Investimento em banco,1428306.03
146.559.390-17,Motocicleta,61627.55
262.135.609-90,Apartamento,1606713.75
450.382.095-74,Sítio,1662979.0
417.199.919-92,Saldo em conta corrente,67941.84
206.823.450-92,Investimento em banco,1116835.61
493.887.978-67,Chácara,698738.97
599.468.422-74,Título do tesouro,324868.95
115.341.768-51,Sítio,947668.52
609.402.188-80,Título do tesouro,528606.55
311.778.502-57,Sítio,1258214.0
802.748.807-22,Título do tesouro,980304.44
070.776.716-08,Jóias,1740021.84
526.168.273-75,Apartamento,942973.47
024.151.609-09,Ouro em barras,175406.19
968.323.158-39,Saldo em conta corrente,1658617.38
215.091.941-13,Sítio,1766345.31
932.923.851-11,Sítio,301795.0
320.548.523-70,Automóvel,1517940.84
931.875.175-17,Apartamento,904034.11
056.473.741-45,Casa,1374009.22
013.784.214-00,Chácara,1697472.38
814.585.783-08,Automóvel,505170.95
197.665.864-58,Título do tesouro,1173928.6
476.908.863-51,Automóvel,1168457.24
133.702.686-04,Ouro em barras,331547.11
056.838.753-40,Saldo em conta corrente,681413.36
355.736.744-53,Saldo em conta corrente,565930.16
748.951.479-77,Sítio,1515246.87
566.058.542-84,Casa,645386.8
363.143.472-96,Apartamento,784150.48
603.686.417-51,Automóvel,21839.04
483.534.892-96,Fazenda,580711.81
978.478.562-96,Trator,281913.27
931.580.369-59,Sítio,1149130.87
023.874.393-35,Chácara,105075.51
069.131.261-63,Título do tesouro,1486235.81
876.516.937-63,Fazenda,1740866.44
399.161.310-92,Motocicleta,210699.76
155.018.139-31,Trator,1611968.3
098.108.989-45,Saldo em conta corrente,988509.3
959.029.406-67,Título do tesouro,23892.24
860.553.213-20,Chácara,1720111.78
823.944.056-16,Jóias,571740.0
379.281.790-26,Casa,654801.73
476.612.461-40,Título do tesouro,766706.5
709.864.059-02,Automóvel,67792.55
779.811.945-63,Fazenda,154197.8
385.035.747-55,Ouro em barras,955752.9
970.447.733-30,Apartamento,1337887.99
714.417.486-18,Automóvel,447708.22
582.304.754-30,Motocicleta,769780.63
101.418.994-50,Ouro em barras,1057298.59
794.318.094-54,Jóias,1791617.0
247.647.733-50,Apartamento,202367.91
183.210.131-43,Casa,394530.41
635.635.519-93,Casa,1569561.0
065.316.992-80,Saldo em conta corrente,880883.46
152.348.556-79,Motocicleta,1697375.75
929.397.778-47,Sítio,1421571.42
450.253.233-89,Investimento em banco,1576125.89
338.279.934-16,Apartamento,742122.61
434.734.814-65,Apartamento,778892.51
696.150.270-18,Apartamento,1448169.93
815.208.404-59,Título do tesouro,1348887.85
972.984.126-61,Apartamento,719895.38
140.909.099-14,Ouro em barras,732044.38
318.181.887-28,Apartamento,1214157.78
099.790.221-93,Saldo em conta corrente,784710.63
866.454.785-03,Título do tesouro,415316.42
881.166.442-61,Apartamento,1002489.41
235.211.626-91,Fazenda,1791353.19
580.421.270-36,Casa,1338290.16
318.757.288-63,Automóvel,835063.31
108.998.450-84,Apartamento,323645.39
520.388.398-61,Investimento em banco,982661.48
588.841.040-21,Investimento em banco,61888.64
966.892.585-97,Apartamento,459926.47
871.570.484-30,Chácara,758223.0
190.094.660-72,Investimento em banco,633861.97
226.834.800-42,Saldo em conta corrente,1489071.85
680.228.243-30,Título do tesouro,1502371.86
728.160.935-35,Apartamento,501371.89
602.285.989-01,Trator,1325232.0
774.952.677-69,Motocicleta,1336237.44
414.823.142-71,Saldo em conta corrente,1243396.59
426.400.702-22,Título do tesouro,1248104.53
098.101.186-63,Fazenda,48027.68
155.012.800-85,Sítio,1658582.0
894.422.315-47,Trator,1406018.0
213.896.098-57,Apartamento,414132.81
487.511.729-94,Automóvel,1404733.5
350.866.929-65,Ouro em barras,738076.5
509.321.974-03,Investimento em banco,1006546.78
078.649.301-84,Sítio,1604496.37
574.566.858-99,Automóvel,324786.76
921.637.409-34,Saldo em conta corrente,1597587.34
874.173.705-39,Apartamento,1291527.06
667.053.647-12,Trator,1297416.06
675.156.630-25,Apartamento,1115768.77
124.784.172-06,Chácara,381593.52
